Results Log
Width: 30
Height: 20
Pill Density: 0.25
Wall Density: 0.3
Fruit Chance: 0.05
Fruit Score: 10
Seed: 1542252498
Runs: 30
Evals: 2000
Best Game File: games/best_game_med_one.txt
Log File: logs/log_med_one.txt
Pacman Controller: controllers/pacman/pac_med_one.txt
Mu: 100
Lambda: 50
Parent Selection: over
Survival Selection: k-tourn
Termination: change
Survival k: 10
Parsimony Coefficent p: 3.0
Evaluations until termination: 2000
Convergence n: 700
Over Selection top x%: 20
Mutation Probability: 0.1
Parsimony Upper Limit: 300.0



Run 1
100 	 4.63 	 42
150 	 8.52 	 42
200 	 13.86 	 63
250 	 20.55 	 113
300 	 24.99 	 113
350 	 30.42 	 113
400 	 36.69 	 151
450 	 41.79 	 151
500 	 45.42 	 184
550 	 50.36 	 184
600 	 55.35 	 184
650 	 57.64 	 184
700 	 61.77 	 184
750 	 69.83 	 184
800 	 70.65 	 184
850 	 73.48 	 184
900 	 76.7 	 184
950 	 79.1 	 184
1000 	 82.1 	 184
1050 	 87.36 	 197
1100 	 88.58 	 197
1150 	 91.35 	 197
1200 	 94.95 	 197
1250 	 96.22 	 197
1300 	 97.83 	 197
1350 	 100.52 	 197
1400 	 103.66 	 197
1450 	 103.42 	 197
1500 	 105.25 	 197
1550 	 105.91 	 197
1600 	 108.78 	 197
1650 	 108.12 	 197
1700 	 109.49 	 197
1750 	 110.39 	 197



Run 2
100 	 6.55 	 55
150 	 10.32 	 55
200 	 16.12 	 57
250 	 23.01 	 98
300 	 29.08 	 98
350 	 33.57 	 98
400 	 39.1 	 127
450 	 43.78 	 127
500 	 46.37 	 127
550 	 50.79 	 144
600 	 55.4 	 144
650 	 60.66 	 144
700 	 62.89 	 144
750 	 67.75 	 144
800 	 72.14 	 144
850 	 76.46 	 144
900 	 79.91 	 144
950 	 83.79 	 144
1000 	 85.87 	 144
1050 	 87.99 	 144
1100 	 90.93 	 144
1150 	 92.93 	 144
1200 	 93.38 	 144
1250 	 96.47 	 144



Run 3
100 	 6.45 	 81
150 	 12.45 	 83
200 	 20.09 	 117
250 	 26.71 	 117
300 	 32.81 	 117
350 	 37.94 	 117
400 	 43.49 	 117
450 	 49.81 	 117
500 	 53.61 	 117
550 	 56.67 	 117
600 	 60.92 	 117
650 	 65.84 	 117
700 	 66.31 	 117
750 	 67.49 	 117
800 	 68.76 	 117
850 	 70.55 	 117
900 	 72.99 	 117



Run 4
100 	 4.75 	 39
150 	 9.41 	 46
200 	 15.26 	 61
250 	 19.93 	 65
300 	 23.27 	 65
350 	 26.37 	 65
400 	 29.32 	 65
450 	 31.79 	 65
500 	 33.86 	 65
550 	 36.16 	 65
600 	 38.09 	 94
650 	 40.3 	 94
700 	 41.67 	 94
750 	 43.58 	 94
800 	 46.05 	 109
850 	 46.77 	 109
900 	 46.58 	 109
950 	 47.75 	 109
1000 	 50.29 	 109
1050 	 53.33 	 121
1100 	 55.71 	 171
1150 	 57.97 	 171
1200 	 59.1 	 171
1250 	 61.54 	 262
1300 	 63.94 	 262
1350 	 65.41 	 262
1400 	 68.73 	 262
1450 	 68.76 	 262
1500 	 68.54 	 262
1550 	 73.86 	 262
1600 	 74.54 	 262
1650 	 76.2 	 262
1700 	 78.03 	 262
1750 	 78.02 	 262
1800 	 79.0 	 262
1850 	 84.36 	 262
1900 	 84.09 	 262
1950 	 86.06 	 262



Run 5
100 	 4.85 	 46
150 	 10.03 	 54
200 	 15.43 	 58
250 	 21.75 	 58
300 	 25.87 	 59
350 	 29.45 	 59
400 	 33.03 	 105
450 	 35.21 	 105
500 	 37.56 	 105
550 	 40.61 	 105
600 	 42.11 	 105
650 	 48.07 	 190
700 	 49.39 	 190
750 	 53.29 	 190
800 	 58.8 	 190
850 	 62.51 	 190
900 	 64.28 	 190
950 	 67.4 	 190
1000 	 73.23 	 190
1050 	 76.71 	 190
1100 	 79.58 	 190
1150 	 80.7 	 190
1200 	 84.91 	 190
1250 	 89.18 	 190
1300 	 88.95 	 190
1350 	 91.63 	 190



Run 6
100 	 5.45 	 50
150 	 9.96 	 50
200 	 16.25 	 83
250 	 20.38 	 83
300 	 25.68 	 83
350 	 30.55 	 97
400 	 33.67 	 97
450 	 35.9 	 97
500 	 38.7 	 131
550 	 47.39 	 131
600 	 53.88 	 131
650 	 59.34 	 131
700 	 65.32 	 131
750 	 70.28 	 131
800 	 73.1 	 131
850 	 74.82 	 131
900 	 75.89 	 131
950 	 78.56 	 131
1000 	 79.48 	 131
1050 	 81.94 	 131
1100 	 83.66 	 131
1150 	 83.39 	 131
1200 	 84.29 	 131



Run 7
100 	 5.36 	 54
150 	 11.63 	 124
200 	 18.5 	 124
250 	 22.86 	 124
300 	 33.64 	 253
350 	 43.38 	 253
400 	 52.4 	 253
450 	 57.64 	 253
500 	 62.73 	 253
550 	 65.71 	 253
600 	 69.54 	 253
650 	 72.88 	 253
700 	 75.35 	 253
750 	 79.33 	 253
800 	 81.74 	 253
850 	 84.22 	 253
900 	 86.5 	 253
950 	 86.71 	 253
1000 	 87.98 	 253



Run 8
100 	 7.82 	 109
150 	 13.47 	 109
200 	 19.45 	 109
250 	 26.11 	 144
300 	 32.2 	 144
350 	 35.67 	 144
400 	 41.6 	 145
450 	 43.69 	 145
500 	 45.81 	 145
550 	 49.12 	 146
600 	 52.15 	 146
650 	 54.84 	 176
700 	 56.62 	 176
750 	 59.16 	 176
800 	 64.13 	 218
850 	 65.76 	 218
900 	 69.65 	 218
950 	 70.72 	 218
1000 	 72.97 	 218
1050 	 75.91 	 218
1100 	 77.83 	 218
1150 	 82.81 	 291
1200 	 86.54 	 291
1250 	 89.97 	 291
1300 	 98.55 	 291
1350 	 104.76 	 291
1400 	 110.36 	 291
1450 	 113.71 	 291
1500 	 118.98 	 291
1550 	 121.37 	 291
1600 	 126.17 	 291
1650 	 128.4 	 291
1700 	 130.6 	 291
1750 	 133.51 	 291
1800 	 136.43 	 291
1850 	 137.71 	 291



Run 9
100 	 8.53 	 80
150 	 13.59 	 80
200 	 21.99 	 82
250 	 30.7 	 117
300 	 37.34 	 117
350 	 42.0 	 117
400 	 45.98 	 117
450 	 51.53 	 117
500 	 57.5 	 117
550 	 59.93 	 175
600 	 64.32 	 207
650 	 68.49 	 207
700 	 73.72 	 207
750 	 78.78 	 207
800 	 79.93 	 207
850 	 82.27 	 207
900 	 81.68 	 207
950 	 84.71 	 207
1000 	 89.75 	 207
1050 	 92.44 	 207
1100 	 92.54 	 207
1150 	 93.97 	 207
1200 	 98.8 	 207
1250 	 99.36 	 207
1300 	 102.62 	 207



Run 10
100 	 3.87 	 30
150 	 8.82 	 62
200 	 14.54 	 82
250 	 18.74 	 82
300 	 24.46 	 84
350 	 28.09 	 84
400 	 32.73 	 84
450 	 36.65 	 84
500 	 39.65 	 84
550 	 41.82 	 84
600 	 44.87 	 158
650 	 45.45 	 158
700 	 49.37 	 158
750 	 52.51 	 158
800 	 54.38 	 158
850 	 54.97 	 158
900 	 55.56 	 158
950 	 57.41 	 158
1000 	 58.33 	 158
1050 	 59.37 	 158
1100 	 63.61 	 158
1150 	 65.38 	 158
1200 	 66.56 	 158
1250 	 69.72 	 158
1300 	 70.86 	 158



Run 11
100 	 5.64 	 44
150 	 11.87 	 56
200 	 18.13 	 59
250 	 22.74 	 64
300 	 29.13 	 125
350 	 34.14 	 125
400 	 38.77 	 125
450 	 45.08 	 125
500 	 46.71 	 125
550 	 53.93 	 125
600 	 56.36 	 125
650 	 62.69 	 141
700 	 65.98 	 141
750 	 70.49 	 141
800 	 72.84 	 141
850 	 73.21 	 141
900 	 74.37 	 141
950 	 76.2 	 141
1000 	 77.77 	 141
1050 	 79.21 	 141
1100 	 82.65 	 216
1150 	 86.04 	 216
1200 	 86.82 	 216
1250 	 90.83 	 216
1300 	 91.92 	 216
1350 	 94.54 	 216
1400 	 94.06 	 216
1450 	 95.78 	 216
1500 	 97.58 	 216
1550 	 94.75 	 216
1600 	 97.83 	 216
1650 	 97.48 	 216
1700 	 98.27 	 216
1750 	 97.16 	 216
1800 	 100.07 	 216



Run 12
100 	 6.7 	 56
150 	 10.2 	 56
200 	 17.02 	 56
250 	 27.51 	 98
300 	 31.24 	 98
350 	 35.36 	 98
400 	 40.77 	 138
450 	 44.63 	 138
500 	 46.3 	 138
550 	 48.38 	 138
600 	 53.03 	 138
650 	 59.04 	 278
700 	 62.55 	 278
750 	 68.17 	 278
800 	 70.96 	 278
850 	 76.4 	 278
900 	 84.47 	 278
950 	 89.99 	 278
1000 	 92.99 	 278
1050 	 95.16 	 278
1100 	 96.83 	 278
1150 	 101.37 	 278
1200 	 101.89 	 278
1250 	 104.95 	 278
1300 	 105.97 	 278
1350 	 106.69 	 278



Run 13
100 	 6.57 	 49
150 	 10.43 	 49
200 	 16.86 	 84
250 	 20.26 	 84
300 	 26.19 	 84
350 	 32.85 	 132
400 	 38.28 	 132
450 	 43.78 	 132
500 	 48.08 	 132
550 	 50.74 	 132
600 	 54.83 	 132
650 	 58.18 	 132
700 	 63.54 	 167
750 	 66.54 	 167
800 	 71.28 	 167
850 	 78.6 	 167
900 	 83.36 	 167
950 	 85.56 	 167
1000 	 89.46 	 167
1050 	 94.21 	 167
1100 	 94.33 	 167
1150 	 98.77 	 172
1200 	 101.21 	 172
1250 	 103.36 	 172
1300 	 106.21 	 172
1350 	 109.47 	 181
1400 	 110.44 	 181
1450 	 111.71 	 181
1500 	 110.96 	 181
1550 	 112.57 	 181
1600 	 113.05 	 181
1650 	 112.96 	 181
1700 	 116.22 	 222
1750 	 117.56 	 222
1800 	 122.06 	 222
1850 	 121.98 	 222
1900 	 123.85 	 222
1950 	 122.19 	 222
2000 	 126.61 	 222



Run 14
100 	 5.77 	 62
150 	 10.33 	 62
200 	 14.99 	 62
250 	 21.31 	 62
300 	 25.87 	 62
350 	 30.09 	 69
400 	 33.34 	 69
450 	 35.86 	 69
500 	 38.36 	 69
550 	 41.35 	 69
600 	 42.21 	 69
650 	 43.04 	 69
700 	 44.5 	 69
750 	 47.11 	 70
800 	 48.26 	 70
850 	 49.83 	 98
900 	 51.05 	 98
950 	 51.37 	 98
1000 	 52.21 	 98
1050 	 52.15 	 98
1100 	 53.32 	 98
1150 	 54.76 	 98
1200 	 55.1 	 98
1250 	 56.56 	 111
1300 	 59.15 	 111
1350 	 60.8 	 111
1400 	 62.34 	 140
1450 	 64.68 	 140
1500 	 65.68 	 140
1550 	 68.36 	 140
1600 	 70.52 	 140
1650 	 71.67 	 140
1700 	 71.9 	 140
1750 	 74.12 	 140
1800 	 76.26 	 140
1850 	 76.02 	 140
1900 	 79.38 	 143
1950 	 79.32 	 143
2000 	 81.21 	 143



Run 15
100 	 3.34 	 32
150 	 7.26 	 37
200 	 13.13 	 63
250 	 19.32 	 102
300 	 24.03 	 102
350 	 28.53 	 102
400 	 31.23 	 102
450 	 33.77 	 102
500 	 35.51 	 102
550 	 39.25 	 102
600 	 42.8 	 104
650 	 45.26 	 120
700 	 46.42 	 120
750 	 49.02 	 120
800 	 52.85 	 120
850 	 53.36 	 120
900 	 57.77 	 245
950 	 60.07 	 245
1000 	 65.43 	 245
1050 	 69.34 	 245
1100 	 71.15 	 245
1150 	 76.16 	 245
1200 	 78.71 	 245
1250 	 82.48 	 245
1300 	 86.91 	 245
1350 	 91.76 	 245
1400 	 95.76 	 245
1450 	 96.9 	 245
1500 	 101.51 	 245
1550 	 109.36 	 245
1600 	 112.28 	 245



Run 16
100 	 6.1 	 86
150 	 11.15 	 86
200 	 15.91 	 86
250 	 23.14 	 86
300 	 27.58 	 86
350 	 32.17 	 86
400 	 36.31 	 86
450 	 41.07 	 121
500 	 43.09 	 121
550 	 45.98 	 121
600 	 50.34 	 121
650 	 53.49 	 155
700 	 55.74 	 155
750 	 59.79 	 155
800 	 66.12 	 155
850 	 68.93 	 155
900 	 70.65 	 155
950 	 75.93 	 155
1000 	 78.88 	 155
1050 	 82.22 	 155
1100 	 81.96 	 155
1150 	 84.7 	 155
1200 	 87.43 	 155
1250 	 91.07 	 155
1300 	 94.22 	 155
1350 	 95.68 	 155



Run 17
100 	 5.07 	 34
150 	 10.73 	 44
200 	 17.23 	 104
250 	 22.63 	 104
300 	 29.44 	 122
350 	 34.54 	 122
400 	 37.6 	 122
450 	 40.82 	 122
500 	 44.71 	 122
550 	 47.6 	 122
600 	 48.49 	 126
650 	 54.06 	 126
700 	 58.95 	 164
750 	 60.76 	 164
800 	 63.24 	 164
850 	 65.6 	 165
900 	 71.22 	 165
950 	 72.24 	 165
1000 	 73.68 	 165
1050 	 76.02 	 165
1100 	 78.33 	 165
1150 	 82.41 	 165
1200 	 84.22 	 165
1250 	 85.66 	 165
1300 	 87.13 	 165
1350 	 88.07 	 165
1400 	 90.37 	 165
1450 	 92.65 	 165
1500 	 93.73 	 165
1550 	 92.52 	 165



Run 18
100 	 6.15 	 80
150 	 12.49 	 80
200 	 19.81 	 102
250 	 23.98 	 102
300 	 30.09 	 102
350 	 39.01 	 137
400 	 48.81 	 141
450 	 58.88 	 153
500 	 71.36 	 153
550 	 79.87 	 157
600 	 88.3 	 157
650 	 94.52 	 165
700 	 100.81 	 165
750 	 104.32 	 165
800 	 109.53 	 165
850 	 113.32 	 174
900 	 117.75 	 174
950 	 121.98 	 204
1000 	 124.04 	 204
1050 	 126.13 	 204
1100 	 127.67 	 204
1150 	 127.67 	 204
1200 	 132.04 	 204
1250 	 131.33 	 204
1300 	 131.38 	 204
1350 	 134.15 	 204
1400 	 137.65 	 206
1450 	 138.58 	 206
1500 	 138.15 	 206
1550 	 135.19 	 206
1600 	 137.53 	 206
1650 	 139.71 	 206
1700 	 140.99 	 206
1750 	 141.36 	 206
1800 	 140.5 	 217
1850 	 142.27 	 217
1900 	 143.88 	 224
1950 	 148.52 	 254
2000 	 151.1 	 254



Run 19
100 	 6.67 	 50
150 	 11.81 	 63
200 	 18.11 	 65
250 	 23.07 	 72
300 	 26.66 	 72
350 	 31.9 	 87
400 	 37.03 	 97
450 	 40.35 	 97
500 	 42.99 	 97
550 	 48.25 	 97
600 	 53.58 	 208
650 	 57.76 	 208
700 	 59.79 	 208
750 	 64.12 	 208
800 	 67.04 	 208
850 	 68.75 	 208
900 	 73.23 	 208
950 	 74.42 	 208
1000 	 77.83 	 208
1050 	 78.31 	 208
1100 	 80.23 	 208
1150 	 86.07 	 208
1200 	 89.9 	 219
1250 	 88.9 	 219
